gene	3hr	24hr	
ELAC2	11.5921	10.6316	
GPR56	10.3989	10.0114	
NVL	9.8971	8.2026	
PLSCR1	6.60395	7.0867	
CHEK1	9.26675	8.4184	
CTSL1	12.2624	12.4739	
CTSD	12.9062	12.8999	
ME2	6.14555	6.7509	
ARHGEF2	4.7936	5.44	
PDGFA	8.68475	9.1048	
ILK	8.4098	9.1218	
WDR67	7.5673	8.2042	
NFIL3	7.6553	8.1485	
RFC2	9.2842	7.1358	
ARL4C	7.9009	6.9261	
TIMM9	11.9527	12.3599	
CPNE3	12.5128	12.5612	
ORC1	10.5179	9.0169	
C5	6.1989	5.8537	
PARP2	8.42055	8.6002	
FASTKD5	8.1848	8.2488	
SCRN1	9.8364	9.7202	
MAN2B1	7.5524	7.9346	
PTPLAD1	10.6749	9.5649	
MSRA	7.12195	6.9772	
NFKBIA	10.7239	11.1104	
DCTD	7.3728	7.5456	
SYNE2	6.2363	6.3993	
MBNL1	8.8928	9.1555	
UBE3C	10.0721	10.3821	
CCDC92	7.5065	7.4018	
MYCBP	10.5697	10.9289	
CXCL2	4.9657	4.4668	
PTPN1	10.8375	10.5023	
BRP44	10.9644	11.0951	
TIMM22	7.3534	7.9015	
ATF5	9.7055	9.8503	
ECD	8.1928	8.2027	
CIRBP	10.1441	10.2958	
NSDHL	10.5969	10.1225	
ADI1	8.7391	8.2736	
NFKBIE	6.56565	5.5782	
ADCK3	4.9531	5.3951	
PRSS23	12.3983	12.2905	
CCNH	7.86045	8.245	
GDPD5	6.5462	5.8614	
P4HA2	6.2853	7.71	
TARBP1	7.82135	6.548	
ATP6V0B	7.51645	7.8423	
RBKS	5.98585	5.7586	
CAPN1	7.0611	7.84	
KDM3A	8.7742	6.5862	
BID	7.7662	8.0541	
STXBP1	4.4619	6.247	
ITGB5	10.6733	11.0825	
MTF2	8.30945	8.0849	
HLA-DRA	5.794	6.9472	
SLC11A2	7.6082	6.9574	
PDIA5	4.77685	5.9531	
PIK3C2B	7.87585	7.4838	
RAP1GAP	7.47885	8.8418	
SLC25A46	9.4512	9.4131	
CDK19	8.33145	8.224	
NOLC1	9.3694	9.0605	
CAT	9.58515	9.5415	
KIAA0753	7.65415	7.2354	
DUSP14	6.4011	7.9027	
KAT6B	8.62485	6.3422	
CHN1	7.3438	4.2055	
HMGA2	3.51385	5.7402	
IGFBP3	6.67665	5.409	
MAPK13	5.71375	7.2144	
TRIB1	9.30065	8.234	
UFM1	8.3217	10.0999	
GNA15	7.06715	5.1618	
TP53BP1	8.12	7.5868	
FRS2	9.0835	8.4636	
IARS2	11.2034	11.3693	
BECN1	8.775	8.4213	
GATA2	7.669	7.1026	
KDELR2	8.16545	7.808	
RALGDS	9.34855	8.7389	
ELAVL1	6.7801	6.7889	
NRIP1	11.2304	11.5755	
CCNB2	11.8633	11.7767	
IFNAR1	8.73295	7.415	
MIF	14.1616	14.426	
RNPS1	13.0904	13.2366	
DAG1	7.07535	6.8604	
SATB1	6.19345	3.9371	
ARID4B	8.49235	7.7389	
IGF2BP2	4.8397	2.8761	
GSTZ1	10.5041	11.411	
IGF2R	9.0974	8.3168	
SESN1	7.96345	9.0898	
TIPARP	8.92425	7.9561	
CRTAP	7.026	7.5625	
SPEN	8.91875	6.971	
GMNN	11.4114	11.6341	
PFKL	9.6214	9.5806	
CYTH1	5.58225	6.5974	
PDHX	9.0253	9.0169	
DENND2D	7.3485	5.7491	
PRCP	7.1659	8.4333	
CTTN	7.56965	7.7225	
SMARCA4	8.2547	8.4896	
