gene	3hr	24hr	
SMAD3	nan	8.4109	
OXA1L	nan	11.9634	
PIK3CA	nan	8.6786	
SNX7	nan	9.3446	
TRAPPC6A	nan	8.1726	
ATP2C1	nan	8.8155	
CDCA4	nan	8.6907	
TBC1D9B	nan	7.2165	
USP14	nan	6.7525	
APPBP2	nan	6.6684	
CDC20	nan	13.126	
NARFL	nan	7.4411	
RPS6	nan	14.0721	
DDX42	nan	7.8863	
ECH1	nan	10.5323	
HDAC2	nan	10.4538	
IKBKE	nan	6.5427	
CCL2	nan	5.0209	
DFFA	nan	8.1486	
MRPL19	nan	11.7451	
WDTC1	nan	8.6844	
PLSCR3	nan	9.3671	
SUZ12	nan	9.3671	
CSNK2A2	nan	7.4876	
H2AFV	nan	8.2368	
NUSAP1	nan	10.6926	
TICAM1	nan	7.4876	
FAM69A	nan	8.5388	
KIAA0100	nan	7.6797	
PAICS	nan	9.166	
SRC	nan	6.5004	
BMP4	nan	6.8856	
CDK2	nan	9.2665	
EDN1	nan	7.2843	
XPO7	nan	9.3972	
FAIM	nan	7.9802	
KIAA0494	nan	8.4304	
PXMP2	nan	9.6489	
SQSTM1	nan	11.254	
HIF1A	nan	13.0667	
TIMM17B	nan	11.7742	
STXBP2	nan	9.8251	
WRB	nan	7.1505	
ETFB	nan	11.882	
MNAT1	nan	10.3456	
CAMSAP2	nan	9.9032	
HPRT1	nan	11.56	
ARNT2	nan	10.0614	
RRS1	nan	8.6053	
ADAT1	nan	6.226	
SPAG7	nan	9.253	
MAPK1IP1L	nan	9.9566	
SCAND1	nan	10.5766	
MFSD10	nan	9.0885	
MSH6	nan	9.9024	
COPS7A	nan	11.1728	
UBE2C	nan	12.0926	
FIS1	nan	8.739	
HS2ST1	nan	5.7809	
NUDT9	nan	8.4489	
TXLNA	nan	10.479	
CSRP1	nan	11.2499	
DNAJB1	nan	10.8267	
METRN	nan	9.3807	
TOPBP1	nan	8.0974	
ABCF1	nan	10.0424	
TCTA	nan	8.7987	
LGMN	nan	7.3224	
TLK2	nan	9.3962	
KIAA1033	nan	9.2561	
PTGS2	nan	4.891	
DNAJB6	nan	10.542	
PLA2G4A	nan	9.8401	
MAT2A	nan	11.9355	
TLR4	nan	4.0179	
HMGCS1	nan	10.95	
MBTPS1	nan	7.4421	
SPRED2	nan	9.2849	
ZNF274	nan	7.0817	
CLIC4	nan	11.9922	
MAP7	nan	6.8081	
CHAC1	nan	8.5218	
EIF4G1	nan	8.7645	
BTK	nan	3.3586	
GNAS	nan	12.6406	
MYL9	nan	7.4828	
TEX10	nan	8.091	
PSMD2	nan	12.4632	
ZNF586	nan	6.4827	
CLTC	nan	11.4671	
IKZF1	nan	3.9527	
APBB2	nan	6.7951	
HSD17B10	nan	10.9794	
RNF167	nan	10.3226	
STX1A	nan	9.9977	
ALDOA	nan	9.1257	
EPHA3	nan	4.7379	
STAT5B	nan	3.4749	
TXNDC9	nan	10.5035	
CCNA2	nan	10.2646	
VGLL4	nan	9.4621	
CASP10	nan	5.8096	
