gene	3hr	24hr	
SPRED2	9.7696	9.7353	
ZNF274	7.2598	7.8411	
CLIC4	14.1221	14.7868	
MAP7	5.0437	3.8361	
CHAC1	9.2559	8.8026	
EIF4G1	9.9172	9.8005	
BTK	3.5094	4.0307	
GNAS	13.1005	13.8216	
MYL9	13.4041	13.6747	
TEX10	7.3523	7.1297	
PSMD2	12.7861	13.2676	
ZNF586	5.3808	5.5998	
CLTC	11.9934	12.4371	
IKZF1	4.1185	3.6045	
APBB2	6.811	6.5609	
HSD17B10	8.7877	8.6748	
RNF167	11.3401	10.7454	
STX1A	9.1913	9.9087	
ALDOA	10.7687	10.6511	
EPHA3	5.4537	4.8948	
STAT5B	5.9604	5.5052	
TXNDC9	7.6182	7.4146	
CCNA2	10.6605	10.4793	
VGLL4	8.8178	9.0099	
CASP10	6.1856	5.5204	
SDHB	11.9336	12.0723	
ETS1	8.2253	7.992	
YTHDF1	8.2681	7.7964	
FOXO4	6.0557	6.6833	
LSM5	12.144	12.2886	
TOMM34	9.6873	9.6133	
ZMYM2	6.6553	6.9364	
CHMP6	5.6607	5.8009	
KIAA0907	7.8997	8.7079	
CASP7	6.7868	7.1683	
HK1	8.3213	8.4274	
PAPD7	10.1348	10.4037	
PIGB	7.9986	8.1431	
CHEK2	7.6896	7.6907	
PLOD3	12.8457	12.7473	
ACD	8.8667	7.9712	
TRAK2	7.9007	8.587	
SUPV3L1	10.22	10.5289	
VAPB	7.6383	7.3118	
GPATCH8	6.4309	6.9302	
HSPD1	10.6695	10.8808	
BUB1B	10.297	10.4769	
TGFBR2	7.967	8.6256	
MRPL12	11.7806	11.4767	
NOTCH1	8.246	8.5815	
PNP	8.8104	8.8343	
SHC1	9.5417	8.0248	
ARPP19	9.0415	8.1849	
CEBPA	2.9438	2.9297	
PSMF1	9.4145	8.34	
RTN2	9.9463	9.3971	
NPEPL1	7.6268	6.923	
USP1	8.5314	7.487	
RPA1	10.9178	11.4372	
SIRT3	4.6628	4.4413	
KLHDC2	10.1719	9.9152	
UBQLN2	7.7589	8.2934	
DMTF1	5.2142	5.4694	
SCARB1	6.4433	6.8947	
CLPX	7.3146	7.4603	
TPM1	13.6218	13.7861	
TM9SF2	8.571	8.7507	
TXNL4B	6.7094	6.0056	
ATF6	8.8257	8.3321	
PRR15L	4.6811	4.857	
NUP88	10.7647	10.8179	
ST6GALNAC2	4.8112	4.6668	
ADH5	11.683	11.4963	
FUT1	6.5551	5.3807	
GOLT1B	11.6513	11.3534	
PRUNE	3.7134	3.5023	
PPOX	8.5628	8.7953	
SYPL1	12.7557	13.0115	
CANT1	10.6007	11.0402	
ZNF451	9.1792	9.2704	
HOMER2	6.4309	6.7979	
RALB	9.8759	9.987	
CLTB	10.5253	9.8587	
TRIM13	7.8382	6.6395	
FBXO7	8.9662	9.2237	
PHKA1	4.8112	5.2443	
CYCS	11.0547	10.4403	
PPARD	7.9306	8.0684	
ENOSF1	3.8298	3.6223	
MAP4K4	8.6593	9.0386	
PAN2	3.562	4.1701	
STAT3	5.0068	4.9375	
LIG1	8.9316	8.0877	
PPIC	11.312	11.4091	
EIF5	10.7277	10.2056	
GNB5	7.2037	7.2445	
GNAI1	5.8194	5.2083	
INSIG1	12.4473	12.2594	
DNMT3A	8.7062	8.8715	
TM9SF3	7.6826	8.9207	
CCDC86	10.3982	10.7874	
HIST2H2BE	5.9919	6.6053	
S100A4	11.542	11.5724	
SLC25A14	6.0203	5.9334	
KTN1	10.7805	11.0411	
TBXA2R	7.3137	7.5436	
ARHGAP1	10.6309	10.6914	
FBXO11	5.5801	4.9307	
HERPUD1	9.5814	9.791	
LPAR2	6.2272	6.3661	
COASY	7.0407	7.0351	
RPL39L	5.5008	5.2191	
BPHL	7.78	8.0297	
RASA1	8.5588	8.5716	
ATMIN	7.2324	7.259	
MAPKAPK3	6.2119	6.8174	
CASP3	9.3909	8.5764	
MBOAT7	11.82	12.4727	
PNKP	8.1114	8.2752	
PSME2	12.3647	12.5607	
NISCH	8.1242	7.8364	
SLC35A3	6.8876	7.15	
CPSF4	9.4497	8.9985	
LSR	5.7341	5.8718	
COPB2	12.2876	12.8866	
MEF2C	5.3244	5.4386	
GADD45A	11.2696	11.8758	
KDM5A	7.0185	7.2116	
FAM63A	6.4556	6.3744	
SMNDC1	8.743	9.0131	
NUDCD3	9.9042	10.1305	
RAB4A	6.1062	6.7799	
FGFR2	7.5338	7.7615	
IFRD2	11.8397	11.9633	
BACE2	9.697	9.1537	
HMGCR	10.5971	10.0926	
LYN	4.8419	4.612	
SLC35B1	10.0621	9.3345	
ISOC1	7.7633	8.4354	
TIMP2	10.2093	10.3915	
DUSP3	6.113	6.3635	
LSM6	7.1739	7.4745	
CALM3	8.2196	7.992	
MOK	7.5442	7.319	
PPP1R13B	6.3348	6.5053	
SACM1L	9.8214	10.514	
DNAJB2	8.0716	8.8779	
TCERG1	9.9183	9.9605	
CERK	9.5378	9.0773	
KIAA0196	11.0175	10.9962	
DNM1	5.5109	5.5052	
LAP3	11.6265	11.7416	
DDIT4	9.6128	10.9853	
MAPKAPK5	7.9894	7.6511	
ALAS1	11.2997	11.3911	
HDGFRP3	7.745	7.0635	
PAFAH1B1	9.4886	9.1989	
PRKCH	4.6811	4.612	
PSRC1	10.2496	10.1834	
RAB21	7.7315	7.7496	
ERO1L	6.8554	6.3661	
PSIP1	10.007	10.0556	
APOE	5.2384	5.3062	
CREB1	3.9013	3.6092	
MBNL2	8.8751	9.1829	
RBM15B	9.678	10.514	
PACSIN3	6.3786	6.1921	
TOMM70A	9.8413	10.226	
CBR1	10.8432	11.2707	
MTA1	9.0841	9.7675	
MACF1	9.8776	10.7753	
PRKCD	7.1015	6.4948	
CCNA1	4.9	4.9307	
PIK3R4	7.9007	8.2173	
CSNK1E	10.649	10.9108	
HIST1H2BK	9.2548	9.781	
JUN	9.5125	10.1368	
PCCB	10.5323	10.6349	
STAP2	5.3141	4.4185	
TMEM50A	10.6209	10.1629	
PMM2	11.312	10.9872	
SCCPDH	9.7305	9.738	
HSD17B11	6.407	6.8991	
TSC22D3	7.4005	7.3886	
FBXL12	8.5524	7.9877	
TFAP2A	10.6242	10.784	
WDR61	8.1562	7.8431	
ZNF395	9.4977	9.8438	
FAS	3.8494	4.3451	
VPS72	8.4836	7.5272	
CENPE	7.6215	7.6475	
CLSTN1	10.1929	10.3228	
CREG1	7.0854	7.5254	
MAPK9	9.0155	9.4237	
PRR7	6.8801	6.4073	
SKP1	8.1628	7.5074	
POP4	9.6	9.6065	
TMEM110	6.8989	7.0823	
NFE2L2	9.0754	9.7675	
ZNF589	5.8132	5.5994	
BAX	9.8013	8.6393	
BLCAP	9.1637	9.404	
CNDP2	9.6546	9.9416	
FAM20B	7.5486	7.3795	
PROS1	3.6224	3.14	
TNIP1	8.3332	8.482	
CRKL	9.5535	10.2376	
P4HTM	7.595	7.6511	
REEP5	10.341	10.4715	
ZNF318	6.6963	7.1451	
BZW2	10.2403	10.2134	
FDFT1	13.5178	13.4784	
