gene	3hr	24hr	
KIAA0100	nan	8.2126	
PAICS	nan	8.1115	
SRC	nan	4.4419	
BMP4	nan	7.7286	
CDK2	nan	9.8911	
EDN1	nan	7.906	
XPO7	nan	7.7961	
FAIM	nan	8.8824	
KIAA0494	nan	10.2341	
PXMP2	nan	9.0549	
SQSTM1	nan	13.0824	
HIF1A	nan	13.5494	
TIMM17B	nan	12.4623	
STXBP2	nan	7.7854	
WRB	nan	8.4885	
ETFB	nan	10.2781	
MNAT1	nan	9.0426	
CAMSAP2	nan	10.709	
HPRT1	nan	11.6115	
ARNT2	nan	12.6583	
RRS1	nan	7.1163	
ADAT1	nan	7.4753	
SPAG7	nan	9.2552	
MAPK1IP1L	nan	9.5152	
SCAND1	nan	10.6291	
MFSD10	nan	9.9243	
MSH6	nan	10.1941	
COPS7A	nan	12.4353	
UBE2C	nan	5.127	
FIS1	nan	10.2828	
HS2ST1	nan	6.762	
NUDT9	nan	9.4234	
TXLNA	nan	11.9479	
CSRP1	nan	13.6779	
DNAJB1	nan	9.7378	
METRN	nan	5.8293	
TOPBP1	nan	8.9326	
ABCF1	nan	10.1315	
TCTA	nan	8.3792	
LGMN	nan	8.3924	
TLK2	nan	9.444	
KIAA1033	nan	9.5856	
PTGS2	nan	4.8811	
DNAJB6	nan	10.1023	
PLA2G4A	nan	11.332	
MAT2A	nan	12.1706	
TLR4	nan	4.1054	
HMGCS1	nan	8.5881	
MBTPS1	nan	7.8902	
SPRED2	nan	9.9505	
ZNF274	nan	7.6	
CLIC4	nan	10.6673	
MAP7	nan	5.4128	
CHAC1	nan	9.334	
EIF4G1	nan	9.1618	
BTK	nan	3.8139	
GNAS	nan	13.3603	
MYL9	nan	7.2178	
TEX10	nan	6.6796	
PSMD2	nan	12.1351	
ZNF586	nan	5.6323	
CLTC	nan	11.83	
IKZF1	nan	4.0765	
APBB2	nan	7.1218	
HSD17B10	nan	11.6884	
RNF167	nan	10.1002	
STX1A	nan	8.9911	
ALDOA	nan	8.1876	
EPHA3	nan	4.6931	
STAT5B	nan	4.4858	
TXNDC9	nan	10.1649	
CCNA2	nan	9.9758	
VGLL4	nan	9.6822	
CASP10	nan	6.6974	
SDHB	nan	11.8426	
ETS1	nan	6.3257	
YTHDF1	nan	7.7165	
FOXO4	nan	5.6901	
LSM5	nan	12.6161	
TOMM34	nan	8.8675	
ZMYM2	nan	10.2105	
CHMP6	nan	5.4884	
KIAA0907	nan	10.0943	
CASP7	nan	7.7961	
HK1	nan	6.0968	
PAPD7	nan	11.226	
PIGB	nan	10.4104	
CHEK2	nan	8.9195	
PLOD3	nan	10.933	
ACD	nan	8.1317	
TRAK2	nan	8.3978	
SUPV3L1	nan	9.8255	
VAPB	nan	8.3042	
GPATCH8	nan	6.9422	
HSPD1	nan	10.9496	
BUB1B	nan	11.0922	
TGFBR2	nan	7.4322	
MRPL12	nan	13.2524	
NOTCH1	nan	8.9126	
PNP	nan	11.2868	
SHC1	nan	10.1419	
ARPP19	nan	9.2805	
CEBPA	nan	3.7544	
PSMF1	nan	9.1595	
RTN2	nan	9.8936	
NPEPL1	nan	9.4899	
USP1	nan	9.0359	
RPA1	nan	9.946	
SIRT3	nan	4.7873	
KLHDC2	nan	11.4183	
UBQLN2	nan	7.9136	
DMTF1	nan	8.0946	
SCARB1	nan	8.4643	
CLPX	nan	9.0698	
TPM1	nan	12.5818	
TM9SF2	nan	8.0813	
TXNL4B	nan	7.6576	
ATF6	nan	8.5978	
PRR15L	nan	7.1694	
NUP88	nan	10.1509	
ST6GALNAC2	nan	5.4856	
ADH5	nan	8.5701	
FUT1	nan	8.0154	
GOLT1B	nan	11.9329	
PRUNE	nan	6.1497	
PPOX	nan	10.6856	
SYPL1	nan	12.1263	
CANT1	nan	11.1052	
ZNF451	nan	8.3835	
HOMER2	nan	6.3133	
RALB	nan	9.8271	
CLTB	nan	11.0642	
TRIM13	nan	9.2333	
FBXO7	nan	7.4354	
PHKA1	nan	8.7617	
CYCS	nan	11.2002	
PPARD	nan	5.8383	
ENOSF1	nan	8.5174	
MAP4K4	nan	6.2275	
PAN2	nan	5.704	
STAT3	nan	5.5969	
LIG1	nan	7.7266	
PPIC	nan	8.3427	
EIF5	nan	11.6564	
GNB5	nan	8.7761	
GNAI1	nan	6.132	
INSIG1	nan	7.4447	
DNMT3A	nan	8.5997	
TM9SF3	nan	9.2124	
CCDC86	nan	9.7648	
HIST2H2BE	nan	8.18	
S100A4	nan	11.2715	
SLC25A14	nan	7.7854	
KTN1	nan	11.0782	
TBXA2R	nan	6.7028	
ARHGAP1	nan	9.3746	
FBXO11	nan	4.8905	
HERPUD1	nan	8.155	
LPAR2	nan	6.71	
COASY	nan	7.6579	
RPL39L	nan	4.9925	
BPHL	nan	9.1715	
RASA1	nan	7.2828	
ATMIN	nan	7.8902	
