gene	3hr	24hr	
VPS72	10.0976	8.1837	
CENPE	8.2459	9.2277	
CLSTN1	9.4116	9.956	
CREG1	13.0153	13.2821	
MAPK9	10.9082	10.7115	
PRR7	6.3331	6.6015	
SKP1	8.6566	8.6426	
POP4	9.2646	9.5508	
TMEM110	6.3344	6.7669	
NFE2L2	9.7318	9.2587	
ZNF589	7.8412	6.3751	
BAX	10.3431	8.8549	
BLCAP	10.277	11.0865	
CNDP2	10.5697	10.8298	
FAM20B	8.5501	8.5174	
PROS1	4.4724	5.2524	
TNIP1	9.1885	8.729	
CRKL	11.4063	9.9657	
P4HTM	7.2113	7.5233	
REEP5	9.3381	9.9501	
ZNF318	6.2976	7.0334	
BZW2	9.8143	10.63	
FDFT1	12.0938	10.1741	
CGRRF1	8.4582	8.2431	
TRAP1	9.8547	9.8007	
AMDHD2	6.8919	7.2512	
GTF2A2	11.6041	11.6956	
PEX11A	5.3816	4.9333	
PSMD9	9.9326	10.1741	
GFOD1	7.2013	6.3502	
MTFR1	10.3084	9.046	
PECR	6.3057	6.4199	
UBE2A	10.4489	11.0216	
NIT1	11.7599	9.801	
SOCS2	7.9162	6.9762	
SYNGR3	7.2334	4.9907	
ZDHHC6	4.6101	7.7684	
ITGAE	9.8893	9.4885	
NFKB2	4.2053	4.4012	
STK25	11.0004	11.2602	
TMEM5	9.6029	10.0222	
ABCF3	7.6814	8.5187	
ATP5S	8.6632	7.0045	
FCHO1	6.4209	4.0435	
NGRN	4.4722	6.5338	
HOXA5	10.2971	9.3741	
OXSR1	8.4937	8.6815	
GRN	9.6134	10.2055	
SMARCC1	10.5121	10.7916	
NUP85	10.4218	10.3353	
PAK6	4.8712	5.5596	
GHR	4.2454	5.0104	
GTPBP8	8.3142	8.0677	
GLOD4	10.1791	9.7587	
PTK2	9.5562	10.6182	
CDK4	10.7856	11.2457	
EPN2	10.7786	8.9806	
CCDC90A	6.7683	7.4186	
IL4R	8.4003	8.0455	
KIAA0528	10.0742	9.4074	
PRKAG2	9.4671	10.2394	
KIT	4.4724	3.5729	
MRPS16	10.085	10.6261	
PTPRC	8.5661	7.0466	
RPS5	7.5971	6.2699	
NOL3	9.501	8.349	
PSMG1	10.8613	11.1763	
NR1H2	7.9646	6.9621	
TMEM97	9.5154	9.3259	
LRRC41	12.0425	11.325	
PLS1	8.581	9.6547	
DUSP22	7.5384	8.7125	
KIAA1279	8.6378	8.3713	
RPS6KA1	10.2675	10.8095	
TCEAL4	9.9491	9.6993	
DCK	9.8806	10.3774	
NUP133	10.3223	10.5072	
NUP62	8.5661	9.2794	
