gene	3hr	24hr	
HIST2H2BE	5.9929	6.2813	
S100A4	13.902	14.0686	
SLC25A14	5.943	6.2299	
KTN1	11.4249	10.8952	
TBXA2R	7.1547	6.7727	
ARHGAP1	9.6464	9.5195	
FBXO11	5.8687	5.8513	
HERPUD1	8.8315	7.9833	
LPAR2	8.1216	7.9614	
COASY	7.0007	7.6667	
RPL39L	5.3948	5.3406	
BPHL	8.2285	8.0097	
RASA1	9.7218	10.3608	
ATMIN	5.7164	5.8324	
MAPKAPK3	9.0378	8.7252	
CASP3	9.7518	9.4293	
MBOAT7	12.5651	12.0611	
PNKP	7.9009	8.9895	
PSME2	13.1666	12.8927	
NISCH	7.577	8.116	
SLC35A3	6.8527	6.9062	
CPSF4	9.7163	10.0441	
LSR	6.8675	7.4564	
COPB2	10.2275	10.641	
MEF2C	5.4158	5.5662	
GADD45A	10.1738	10.4613	
KDM5A	6.9176	7.4122	
FAM63A	6.2978	8.3822	
SMNDC1	9.4002	9.2011	
NUDCD3	9.6534	10.1159	
RAB4A	7.9349	7.7361	
FGFR2	6.3597	6.8196	
IFRD2	11.7496	11.3194	
BACE2	8.1787	9.3071	
HMGCR	9.7903	9.3019	
LYN	5.4707	5.5684	
SLC35B1	9.9648	9.7649	
ISOC1	7.7077	7.6439	
TIMP2	10.7399	9.643	
DUSP3	7.2925	7.7168	
LSM6	8.4449	7.7992	
CALM3	8.8498	7.291	
MOK	6.4586	5.5284	
PPP1R13B	5.127	5.6513	
SACM1L	10.2604	10.8985	
DNAJB2	8.0991	8.3343	
TCERG1	10.4739	9.7909	
CERK	7.8843	7.1697	
KIAA0196	8.0865	7.7805	
DNM1	5.5346	6.0274	
LAP3	12.1984	11.6438	
DDIT4	10.8265	11.2443	
MAPKAPK5	8.7289	8.596	
ALAS1	10.6018	11.7018	
HDGFRP3	6.3525	6.5757	
PAFAH1B1	9.4901	9.0921	
PRKCH	6.4846	5.3646	
PSRC1	9.9813	8.8471	
RAB21	7.867	6.8841	
ERO1L	8.5145	8.4775	
PSIP1	7.9241	7.5839	
APOE	4.264	6.5411	
CREB1	7.2319	6.3188	
MBNL2	9.5775	9.0168	
RBM15B	9.9104	8.9658	
PACSIN3	6.5835	7.1943	
TOMM70A	9.4071	9.5238	
CBR1	10.1089	10.2731	
MTA1	9.9972	9.5385	
MACF1	10.4216	11.234	
PRKCD	7.1405	6.6571	
CCNA1	5.5123	6.8815	
PIK3R4	6.0651	6.725	
CSNK1E	10.0637	9.8809	
HIST1H2BK	11.4097	11.7645	
JUN	8.92	9.3239	
PCCB	8.3708	8.4477	
STAP2	6.6443	5.5975	
TMEM50A	9.3329	9.8823	
PMM2	10.5057	9.9784	
SCCPDH	10.9746	10.7721	
HSD17B11	10.7729	8.1198	
TSC22D3	7.6194	9.0845	
FBXL12	7.6772	6.8243	
TFAP2A	8.1626	9.3218	
WDR61	7.279	6.4217	
ZNF395	10.9643	9.639	
FAS	4.5863	6.0908	
VPS72	8.1457	7.4668	
CENPE	8.6101	8.9766	
CLSTN1	10.0862	9.5939	
CREG1	10.549	10.5946	
MAPK9	10.7247	10.3844	
PRR7	6.5496	7.4755	
SKP1	7.929	8.3814	
POP4	9.99	9.3335	
TMEM110	7.3706	7.1014	
NFE2L2	10.7035	8.8744	
ZNF589	6.0869	6.596	
BAX	9.3903	8.2957	
BLCAP	10.4182	10.7076	
CNDP2	11.0169	11.3274	
FAM20B	7.695	7.8503	
PROS1	4.6141	5.4318	
TNIP1	9.0432	8.3542	
CRKL	10.4605	9.4204	
P4HTM	8.1836	10.1751	
REEP5	7.5736	9.2718	
ZNF318	6.3275	6.9749	
BZW2	9.6202	8.6823	
FDFT1	10.6229	11.0902	
CGRRF1	9.4347	9.4196	
TRAP1	8.5135	8.3098	
AMDHD2	6.7027	6.7313	
GTF2A2	11.2218	10.445	
PEX11A	4.8784	4.4313	
PSMD9	10.3966	10.4916	
GFOD1	5.8153	6.3386	
MTFR1	8.9172	9.4204	
PECR	5.7547	6.1085	
UBE2A	11.6667	11.6763	
NIT1	9.3329	9.6974	
SOCS2	5.9616	6.0794	
SYNGR3	5.3427	4.079	
ZDHHC6	6.6995	7.8659	
ITGAE	10.2235	10.2491	
NFKB2	3.6752	4.7142	
STK25	10.6172	10.3458	
TMEM5	9.0432	8.9126	
ABCF3	8.8762	9.2174	
ATP5S	8.0032	7.745	
FCHO1	6.6883	5.8954	
NGRN	5.7785	5.823	
HOXA5	4.0549	6.3531	
OXSR1	9.4904	8.7828	
GRN	9.5709	11.7609	
SMARCC1	9.643	9.5329	
NUP85	10.9183	10.6153	
PAK6	4.9721	5.3583	
GHR	4.5525	4.5279	
GTPBP8	7.0716	7.7699	
GLOD4	10.7308	10.1557	
PTK2	10.1488	10.7165	
CDK4	11.4781	11.1588	
EPN2	7.9097	7.9089	
CCDC90A	7.108	7.7877	
IL4R	8.0478	6.5732	
KIAA0528	8.4629	8.2661	
PRKAG2	9.2355	9.2909	
KIT	3.9695	5.0777	
MRPS16	10.2001	9.9587	
PTPRC	5.9716	6.8375	
RPS5	7.1829	6.1415	
NOL3	7.628	8.8656	
PSMG1	11.0461	10.3495	
NR1H2	7.7664	6.8815	
TMEM97	10.439	9.5108	
LRRC41	10.9943	11.1308	
PLS1	8.4847	8.5048	
DUSP22	7.3945	8.0075	
KIAA1279	9.1935	9.6776	
RPS6KA1	8.8404	8.8821	
TCEAL4	10.0063	10.1425	
DCK	9.2912	9.0249	
NUP133	10.0608	9.7463	
NUP62	8.604	9.3239	
TRIM2	8.6938	8.5221	
SNCA	10.093	10.762	
SPTAN1	6.7614	6.0499	
MALT1	8.2749	7.7766	
VPS28	6.9327	7.0175	
LRRC16A	5.4958	6.0858	
YKT6	10.7116	10.0491	
CHP	7.4615	5.509	
KIF2C	6.7503	7.6349	
NNT	9.7739	9.3692	
NR2F6	9.1917	8.5143	
COL1A1	7.0417	6.7643	
EXOSC4	5.8687	6.4074	
CDC25A	9.1207	7.2511	
PDLIM1	8.778	9.6576	
CRELD2	6.8527	6.0499	
TP53	10.1279	9.3114	
IQGAP1	9.7719	10.0775	
RRP12	9.0153	8.795	
ACAT2	8.9529	8.2525	
EGR1	6.4113	6.5004	
MUC1	7.7113	6.465	
THAP11	7.0255	6.2957	
AURKB	10.6777	9.5563	
CEBPD	7.0682	6.8616	
HSPA4	11.2552	10.8938	
MAST2	8.0346	8.7309	
DHDDS	7.7149	7.9116	
TOP2A	12.9654	12.0874	
GADD45B	6.0375	6.6056	
NCK2	8.2963	7.9786	
AURKA	8.5692	8.3143	
KIAA0355	5.2706	4.8258	
B3GNT1	7.6817	8.1755	
DYNLT3	7.2479	8.1751	
CDK5R1	4.734	5.1608	
CHMP4A	7.8468	7.3979	
IPO13	8.411	7.4752	
SCP2	7.5914	8.3983	
ITFG1	6.4333	5.3976	
RAD9A	7.2747	6.9538	
DRAP1	11.1172	12.0505	
SPP1	3.5668	11.9346	
HYOU1	8.9097	8.8999	
PCMT1	9.9602	10.3296	
FOS	8.5749	5.708	
FYN	6.1518	7.153	
MCOLN1	6.3029	6.1902	
MYC	9.6902	10.3842	
ID2	6.0282	5.8646	
POLB	7.529	7.7973	
CETN3	8.1177	8.8969	
KCNK1	4.343	4.3004	
AXIN1	7.4228	7.1821	
SMC4	10.8853	10.2313	
RAI14	10.1133	9.8051	
SMARCD2	7.5366	7.2601	
DNAJC15	9.8606	9.0354	
MPZL1	9.4775	9.7324	
HOXA10	4.7619	4.065	
NRAS	10.2739	9.3518	
CASP2	6.5496	6.072	
EBNA1BP2	11.9039	11.7626	
CTNND1	7.4183	7.6945	
TATDN2	6.5707	6.5236	
LRPAP1	10.357	10.824	
ZNF131	9.669	9.0212	
BNIP3L	9.3831	9.9532	
HOOK2	5.4513	5.8128	
ERBB2	8.5048	9.0114	
TBPL1	7.8786	7.5144	
INTS3	7.5198	8.0939	
RAE1	9.7837	9.428	
CDK1	11.5842	10.5691	
RFNG	8.4782	9.1075	
MICALL1	6.1084	6.0073	
SLC35A1	7.814	7.7938	
KLHL21	5.2797	5.5801	
NIPSNAP1	6.3392	7.2937	
BCL7B	6.3383	6.8152	
TLE1	10.1133	10.9859	
FZD7	10.1781	8.2271	
TIMELESS	9.8066	9.5033	
COG2	7.7231	6.8502	
DHX29	8.4567	7.8271	
MMP2	6.6693	6.3765	
MRPS2	11.203	10.1597	
KCTD5	7.4191	7.4913	
TCEA2	8.8046	9.569	
CNPY3	8.8556	8.4078	
FHL2	9.9848	10.0633	
ADAM10	10.1617	10.2353	
FKBP4	12.461	11.5124	
CD58	10.4332	11.3285	
KAT6A	7.9871	7.8493	
CDK7	10.4234	10.8628	
KIF5C	5.44	5.4695	
HMG20B	10.4465	11.4343	
MAP3K4	5.8308	6.4221	
PIN1	11.4978	11.5652	
ZFP36	8.3262	8.1678	
INPP1	9.3218	10.2455	
LAGE3	6.7504	6.1337	
RAC2	9.4478	9.6482	
TNFRSF21	11.3201	11.365	
HMOX1	6.7686	6.8657	
KIF14	6.0899	5.4184	
COL4A1	8.427	8.2903	
DUSP6	12.3249	12.5774	
CYB561	8.7459	8.5248	
EPB41L2	9.5341	9.1994	
GNAI2	9.4786	9.4542	
HTRA1	8.8649	7.2975	
TSTA3	7.604	7.6068	
WASF3	5.7927	5.4695	
DNMT1	12.3609	11.5368	
TSPAN6	8.2445	8.2283	
FBXO21	9.9285	9.0974	
RAB27A	7.6716	7.8955	
DDR1	5.8779	6.5336	
PPP2R3C	9.3286	9.7045	
ADRB2	7.0716	7.6723	
LPGAT1	8.5417	8.6532	
DUSP11	9.1797	9.7006	
GRB10	7.6868	8.4866	
MMP1	9.6472	10.3666	
TP53BP2	10.9149	9.8959	
CDKN1A	10.4902	9.5218	
ZW10	8.9765	9.1717	
CORO1A	6.6851	5.736	
TJP1	7.3349	8.0939	
ABCB6	8.8838	7.8398	
XPNPEP1	7.7775	8.4561	
MAMLD1	6.8581	7.6068	
MTHFD2	9.3407	9.0676	
DSG2	8.878	8.8669	
PRAF2	9.1067	9.5485	
DNTTIP2	11.1544	11.101	
SLC27A3	7.7596	7.7605	
CD97	11.1418	10.8675	
HTATSF1	11.9471	11.6228	
IL13RA1	8.127	7.7742	
NCAPD2	9.6828	9.3502	
AGL	6.0561	6.0858	
TMEM109	10.2651	10.2243	
CDC25B	11.6115	11.2347	
ICAM1	7.0317	6.9257	
GATA3	4.6299	4.4466	
NUP93	8.2873	8.1755	
PLA2G15	6.6404	7.0155	
RPA3	8.6785	7.8247	
PIP4K2B	6.9768	7.0381	
TES	11.5634	11.4951	
MYCBP2	7.1676	7.1597	
SPR	10.3059	9.6816	
PGRMC1	11.502	11.3387	
RELB	7.449	7.3815	
AARS	9.5738	8.0778	
EPHB2	7.7215	8.0431	
GPC1	7.2472	8.1556	
RPIA	10.4525	9.4941	
ELAC2	11.2908	11.1838	
GPR56	8.7327	9.7722	
NVL	9.0821	8.8349	
PLSCR1	6.6502	6.4815	
CHEK1	10.3451	9.3379	
CTSL1	11.6419	11.6411	
CTSD	12.8516	12.7736	
ME2	8.3484	8.587	
ARHGEF2	7.8525	8.5371	
PDGFA	6.2909	7.1366	
ILK	10.9871	11.3776	
WDR67	9.6543	8.3542	
NFIL3	7.4342	7.6967	
RFC2	9.4572	8.9941	
ARL4C	8.8238	8.9741	
TIMM9	11.9946	11.8184	
CPNE3	11.4612	11.6674	
ORC1	10.501	9.2824	
C5	5.5346	5.6685	
PARP2	8.1024	8.6183	
FASTKD5	8.4972	8.6623	
SCRN1	9.7768	9.6084	
MAN2B1	9.674	9.286	
PTPLAD1	8.3941	7.4913	
MSRA	8.6472	8.6317	
NFKBIA	9.6534	9.8792	
DCTD	10.3743	9.8334	
SYNE2	6.5496	6.0544	
MBNL1	9.8296	9.9762	
UBE3C	11.3838	10.9944	
CCDC92	8.5016	8.3185	
MYCBP	10.461	10.421	
CXCL2	5.8197	5.9068	
PTPN1	10.8594	10.3907	
BRP44	11.5108	11.2692	
TIMM22	9.517	9.7838	
ATF5	9.3002	8.0055	
ECD	7.8856	8.8187	
CIRBP	9.4996	7.9687	
NSDHL	8.8826	9.4865	
ADI1	8.5239	8.1815	
NFKBIE	5.6672	5.9604	
ADCK3	5.321	4.2969	
PRSS23	12.8935	12.3734	
CCNH	8.2723	7.4013	
GDPD5	6.5644	6.2507	
P4HA2	8.0732	7.4686	
TARBP1	7.1829	7.8867	
ATP6V0B	8.92	7.6539	
RBKS	7.4913	8.0025	
CAPN1	8.6192	6.267	
KDM3A	8.9029	8.8872	
BID	6.9289	6.9156	
STXBP1	6.2497	7.7739	
ITGB5	9.5882	10.8747	
MTF2	9.2081	8.7768	
HLA-DRA	7.0976	6.5798	
SLC11A2	7.3962	7.5134	
PDIA5	5.9329	5.4162	
PIK3C2B	4.8527	6.1717	
RAP1GAP	6.7166	5.624	
SLC25A46	10.0949	9.7378	
CDK19	7.0337	7.2972	
NOLC1	9.0983	8.7405	
CAT	10.5382	10.6418	
KIAA0753	6.9202	7.5033	
DUSP14	8.5657	8.2794	
KAT6B	7.2319	7.1697	
CHN1	7.9787	6.4598	
HMGA2	6.9065	6.927	
IGFBP3	8.5887	9.5958	
MAPK13	9.3201	8.7127	
TRIB1	6.4044	6.5878	
UFM1	9.3819	9.4553	
GNA15	6.6446	6.8978	
TP53BP1	7.0615	7.675	
FRS2	6.9011	6.7423	
IARS2	11.4896	11.1485	
BECN1	9.2566	9.4734	
GATA2	6.5835	6.1859	
KDELR2	8.6436	8.2176	
RALGDS	8.1948	9.1622	
ELAVL1	8.5378	7.9908	
NRIP1	6.4216	6.282	
CCNB2	12.0488	11.8545	
IFNAR1	6.3208	6.7643	
MIF	14.0847	13.9243	
RNPS1	12.7654	12.518	
DAG1	7.2352	8.2595	
SATB1	4.0043	4.7681	
ARID4B	8.2553	8.4705	
IGF2BP2	6.8922	7.2937	
GSTZ1	9.8888	9.7792	
IGF2R	10.3282	10.3713	
SESN1	5.9835	5.9068	
TIPARP	10.4539	10.4613	
CRTAP	8.6483	7.9798	
SPEN	8.6918	8.1126	
GMNN	11.8709	11.5846	
PFKL	9.407	8.6064	
CYTH1	6.849	6.4815	
PDHX	9.5498	9.7256	
DENND2D	6.6101	6.3446	
PRCP	8.9313	8.4518	
CTTN	6.4333	7.1367	
SMARCA4	6.8925	8.4445	
PYGL	9.9005	9.7016	
UBR7	9.3922	8.8015	
GRB7	8.9023	8.8648	
RPA2	10.0325	9.6712	
CD44	13.2448	13.3742	
ERBB3	5.4935	4.6791	
